response_id,Group,Perception_1,mean_att,mean_int,ManipulationCheck GF_1,ManipulationCheck LF_1
R_1i3xJ7G5DKTqPAf,1,4.74,5,4.866666666666666,4.51,1.72
R_2bVO4fUlGhqSlK8,2,NA,4.12,3.9966666666666666,3.15,1.95
R_2uOKZr4Hjmkgqpm,1,4.22,4.175,4.7,3.41,3.3
R_2dzke7muHlM004v,1,NA,NA,NA,3.61,3.47
R_2xVtz776JGCi4Ju,2,3.99,4.025,3.816666666666667,NA,2.1
R_1erbZbOHuutPH2Y,1,4.17,5,4.07,5,4
R_2SCf5OCmP2MOuUK,2,4.19,4.7575,5,4.92,1.94
R_33jpdwJTXzJSwyN,1,4.32,4.6775,4.73,4.53,3.95
R_31GazyGKMhB0jok,2,4.28,4.2525,4.303333333333333,3.94,4.13
R_2xDcfowUbf2pluJ,1,3.43,3.4450000000000003,3.2866666666666666,3.66,3.38
R_oXiyxGLrC1CGB7X,1,4.03,4.154999999999999,4.1433333333333335,5,1.99
R_1QnNMTD0OEcQmND,2,NA,3.57,4.046666666666667,3.96,NA
R_2AG7uYQcfJ3ND0C,1,4.54,3.9925,3.6966666666666668,5,2
R_1FR08mZ1kRRtceO,1,4.17,3.8833333333333333,3.57,4.39,2.02
R_xozlnGk14r1dRfP,1,3.49,4.555,4.55,4,3.73
R_1jB9C6oHe8kxwxu,2,4.01,4.09,4.476666666666667,3.95,NA
R_3R1oiuv49yOzgWt,1,4.28,3.9299999999999997,3.9466666666666663,4.07,3.6
R_RPkh4AkbaaQzBRv,1,4.08,4.2725,4.683333333333334,4.06,1.98
R_z1lrrp8CKyQ1dMB,2,NA,NA,NA,NA,NA
R_3NUr9VLAAW4eMSd,1,NA,NA,NA,NA,NA
R_vPjraXzAYq283w5,2,4.57,4.5675,4.1033333333333335,5,3.61
R_1jqWioGQxiqyBK0,1,1.98,2.68,3.3633333333333333,4.05,2
R_rcpo3cIcGlnEqZP,1,3.94,3.2475,3.013333333333333,3.74,3.38
R_27BzpSKFFoBVfNn,2,4.2,4.425,4.293333333333333,4.36,1.48
R_XM7WyzLCQ1MvVnj,1,1.71,4.0424999999999995,4.316666666666666,3.73,3.68
R_6Vj0MnW6D2jebBf,2,4.02,4.7375,4.4,4.08,5
R_2v65bFNB6xIbLYe,2,4.17,4.5625,4.973333333333334,4.99,4.05
R_27Tf5oGkPeqdUFV,2,3.69,3.79,4.066666666666666,3.95,2.01
R_33qel6FTOIQn04m,2,4.6,3.52,2.6333333333333333,3.74,2.37
R_1jpqmnVycIhZDOG,1,2.91,4.125,4.036666666666667,3.97,4.03
R_26l4jwy4OixxYS4,2,3.68,3.62,3.1100000000000003,3.51,2.35
R_1FmEZ27TCjBoTFk,1,2.1,4.5,5,1.89,4.13
R_1K27OYQMoCAKxyt,2,3.55,4.22,3.963333333333333,3.76,4.31
R_8wwN022nUFqTBeN,2,4.45,3.935,3.473333333333333,5,2
R_3j6Xy949U1RwrDB,1,3.06,3.585,3.4833333333333334,4.04,1.97
R_2V3F3ft1pPRf1mP,1,4.05,4.3149999999999995,3.96,3,1.93
R_5zgi32yfM3ISUmd,1,4.08,3.47,3.4033333333333333,4.06,NA
R_2EyE7OgDP0HekFe,2,5,4.62,4.453333333333333,5,4.22
R_3FL1KgiekTEVkNN,2,5,4.005,4.633333333333333,4,NA
R_vvsRlCv8QQOm3yV,1,3.6,4.577500000000001,4.48,4.19,3.13
R_2YLjfImAMixuOiH,1,4.48,4.8075,4.68,5,1.54
R_soNuhyAdcwM2J9v,2,3.76,3.855,3.6766666666666667,4.05,1.45
R_uaEsYPSSqLTFXYR,1,5,5,5,5,NA
R_1IF3aze6Dy0gV7S,2,3.95,4.4399999999999995,4.196666666666666,4.95,NA
R_RqOhukri7waPwK5,1,5,3.8666666666666667,3.7533333333333334,5,1
R_32Q66MHW9bebbwB,1,4.01,4.2825,4.15,3.99,NA
R_1Q0DNd1URZ0TCDZ,2,5,5,5,4.03,4.48
R_Uz5BZsyfseUi4I9,2,4.09,4.234999999999999,4.016666666666667,4.04,2.14
R_2U0orw89jzMpLvH,2,3.52,4.0025,2.74,NA,2.27
R_3EB8OxsQDNpBX1C,1,4.17,NA,3.6733333333333333,4.06,NA
R_Us66tl243IFNvzP,2,NA,NA,NA,4.35,4.34
R_3qkQenJuq48i4l0,1,3.9,3.6475,4.36,1.86,1.99
R_1CvEeh8nYRxce4J,2,3.46,3.165,3.49,3.3,3.57
R_psXA9UizrwPr3MJ,2,4.09,3.975,3.98,4.1,2
R_7TBc1CSDONkyEw1,1,4.03,3.6225,4.473333333333333,3.12,3.85
R_O3CWwLcRm5JZShP,1,3.91,4.415,4.166666666666667,4.6,3.66
R_3I46iNs8yoyTDAR,2,5,5,4.12,5,5
R_2TpLtkxlN82vtdN,1,4.87,4.965,4.37,5,4.85
R_3Mz0gZ9TZfbMi4W,2,4.31,3.9499999999999997,3.9166666666666665,4.44,3.34
R_28P4b9fsOilyx7u,1,4.81,4.555,4.546666666666667,4.49,3.8
R_ewUtRN9G81RUb3r,2,4.03,4.9975000000000005,5,3.04,4.05
R_AtX9KaiGkdrr7xv,1,5,4.3525,4.053333333333334,5,4.08
R_1duI8k8awIR1Led,2,NA,4.32,4.183333333333334,3.96,3.96
R_2PqgeRLwwt96a0S,1,3.88,4.12,4.183333333333334,4.06,2.94
R_Q3SlnR6ABxauRZ7,2,5,4.7524999999999995,4.5600000000000005,4.1,5
R_3QQSVwrwJ9IeHM7,2,4.84,4.3149999999999995,4.693333333333333,4.37,5
R_3fOw3CFYRMr4EaF,1,4,4.047499999999999,4.03,4.04,NA
R_2PsVItwVgxzmzeJ,2,4.12,4.45,4.36,4.31,4.48
R_3njvth2rlXwKFuB,1,4.43,4.4125,4.196666666666666,5,1.63
R_1HeFYpbLrMi47Nm,2,NA,3.97,4.074999999999999,5,NA
R_1HboraNjrdqBu7e,2,4,4.97,4.59,4.99,5
R_1FFaVEmjsqOSbLP,1,4.12,3.2075,2.723333333333333,5,4.42
R_2Tv3A3j0C024KnX,1,4.46,4.4675,4.76,5,NA
R_307EYUoy6mY6n2M,2,4.52,4.2325,4.46,3.63,5
R_25Z2e9MbdTJI3D6,2,4.09,4.76,4.04,4.02,4.03
R_2CZopFrJXzzlCxN,1,4.04,4.0649999999999995,3.8866666666666667,4.03,2.26
R_3n6ql0007Oc0IKr,1,4.22,4.526666666666666,4.003333333333334,4.11,3.48
R_3oGhnnCPOroNl9l,2,5,4.77,4.693333333333333,5,3.59
R_Z4U3HJp1UUJEjcJ,1,4.26,4.2675,3.6366666666666667,4.96,1.17
R_3FJR2fwmoFKxJND,2,4.03,3.9575,4.0600000000000005,4.05,3.97
R_2bZu66INGBEZztg,2,3.98,4.2475,2.96,NA,4.04
R_2Qu3kmF6bruIQfL,1,3.87,3.7025,3.5100000000000002,3.77,3.47
R_1oBHAsuPDTawf7M,1,4.1,4.5525,3.69,5,1.99
R_2D7bJfuI5jxVgwE,2,4.84,4.875,5,4.41,3.24
R_2DS1A40i2zg8srH,1,4.13,3.93,3.35,4.05,2.93
R_Dl8tFRvEj9t06c1,2,3.41,4.125,4.8,5,1.04
R_8IgfzUw9BzwLwRP,1,4.49,3.95,2.9966666666666666,3.59,2.71
R_2ZK1qJBgLxvARyH,2,4.44,4.445,4.786666666666666,5,1.96
R_3fYSi1Fi3izq4eS,1,4.18,4.9925,5,5,3.55
R_3KBI2gkm6foBAcq,2,4.11,5,3.9633333333333334,5,5
R_2PopH3p5KXR5zi3,1,4.05,5,5,4.12,4.06
R_rjQpHfXlGAC8XZv,2,4.06,4.8925,4.086666666666667,4.11,4.06
R_3en2ElgdW9kArWX,2,NA,4.1525,4.14,3.4,3.53
R_3eaYPSjGK96Fsq3,1,4.46,4.49,4.303333333333334,4.91,2.99
R_2QzisotjB454uvn,1,4.06,4.9375,4.1,4.08,4.02
R_xzNEB089MdUV1EB,2,NA,4.385,4.683333333333334,3.94,4.01
R_2zvjq9Tak2u2Cnq,2,4.06,3.4366666666666665,2.743333333333333,4.93,4.03
R_1K1hhstqbRiscw0,1,4.09,3.8725,4.45,NA,1.53
R_1FQ9noj6J1WRyF4,1,4.35,4.0825,4.306666666666667,4.72,2.84
R_2eOVfd2xzdWMW03,2,4.12,3.55,3.17,1.97,1.96
R_2QQAcWFL2rTxM6A,1,4.04,4.32,4.6899999999999995,3.86,NA
R_3P4EGLkVP2jZMbX,2,4.88,4.305,4.596666666666667,4.59,1.9
R_qxcM6FPLRoYr52V,2,5,5,4.586666666666667,4.17,3.65
R_2zAanykCbmYA8NK,1,5,5,5,5,5
R_1DSiXCz1kqUPgtQ,1,5,4.49,4.183333333333334,4.51,NA
R_6W0MQlR7X0bk2cN,2,5,5,4.39,4.67,5
R_Oy4o2FO6CrkhkhH,2,4.41,4.3475,4.176666666666667,4.32,3.48
R_3ErNeZKrwLeL4Rf,1,5,4.3975,4.526666666666667,2.36,4.44
R_3sulR8OTpjM3q0A,1,5,5,5,5,1.2
R_1QbgkHt0rqdqoDL,2,4.38,4.555,4.286666666666666,4.75,4.05
R_264iIFx6qcB5lfp,2,5,4.54,5,5,5
R_2YsNPPa1gLEIIeg,1,4.67,4.735,4.676666666666667,5,1.01
R_2dZxIJFSXZnfMjf,1,5,5,5,5,5
R_3CUYEcWuXuEQJwc,2,4.57,4.655,3.38,5,3.07
R_1FDQFu2eUfcfeJk,1,3.44,4.1175,3.6266666666666665,2.98,3.05
R_1K76QIaM95LDU3Z,2,2.85,1.195,2.45,1,5
R_6WHtnuEtTmte9Pj,2,3.95,4.67,4.95,4.95,3.04
R_3fUkpZYruXbLvhQ,1,3.98,3.7675,4.376666666666667,4.01,3.85
R_31MhH0DEiT2LlMg,2,4.56,4.6425,4.6433333333333335,NA,4.98
R_31LzRyanipj3I92,1,4.05,4.21,3.3566666666666665,2.99,1.99
R_302XxUNqAOgF2kt,1,4.65,4.0225,4.166666666666667,5,2.46
R_1iqFTNfRABr3OKG,2,4.56,4.1825,4.406666666666666,3.94,4.92
R_1Q3ZY0mvnLtMHRG,2,4.95,4.9750000000000005,4.833333333333333,4.98,NA
R_3RqoP7nUbaEokcm,1,NA,3.5324999999999998,2.566666666666667,4.03,2.02
R_2uqzdsUsmysVbe0,2,4.2,4.355,4.383333333333334,5,4.17
R_pbjYmMONXLAaH1T,1,5,5,5,5,1
R_2Ufph3TsIRqcpaS,1,3.38,4.515,3.026666666666667,3.63,2.62
